,Date,Open,High,Low,Close,Volume,Market_Cap
116,"Oct 09, 2019","8,229.84","8,627.71","8,169.30","8,595.74","19,384,942,333","19,384,942,333"
117,"Oct 08, 2019","8,246.85","8,332.72","8,185.76","8,228.78","15,592,264,032","15,592,264,032"
118,"Oct 07, 2019","7,989.12","8,308.45","7,905.77","8,245.62","18,009,742,607","18,009,742,607"
119,"Oct 06, 2019","8,149.88","8,161.41","7,958.85","7,988.16","13,160,830,305","13,160,830,305"
120,"Oct 05, 2019","8,210.15","8,215.53","8,071.12","8,151.50","12,200,497,197","12,200,497,197"
121,"Oct 04, 2019","8,259.49","8,260.06","8,151.24","8,205.94","13,139,456,229","13,139,456,229"
122,"Oct 03, 2019","8,390.77","8,414.23","8,146.44","8,259.99","13,668,823,409","13,668,823,409"
123,"Oct 02, 2019","8,344.21","8,393.04","8,227.70","8,393.04","13,125,712,443","13,125,712,443"
124,"Oct 01, 2019","8,299.72","8,497.69","8,232.68","8,343.28","15,305,343,413","15,305,343,413"
125,"Sep 30, 2019","8,104.23","8,314.23","7,830.76","8,293.87","17,115,474,183","17,115,474,183"
126,"Sep 29, 2019","8,246.04","8,261.71","7,990.50","8,104.19","13,034,629,109","13,034,629,109"
127,"Sep 28, 2019","8,251.27","8,285.62","8,125.43","8,245.92","14,141,152,736","14,141,152,736"
128,"Sep 27, 2019","8,113.10","8,271.52","7,965.92","8,251.85","16,408,941,156","16,408,941,156"
129,"Sep 26, 2019","8,487.67","8,515.69","7,895.63","8,118.97","19,258,205,289","19,258,205,289"
130,"Sep 25, 2019","8,603.43","8,744.83","8,325.40","8,486.99","21,744,728,353","21,744,728,353"
131,"Sep 24, 2019","9,729.32","9,804.32","8,370.80","8,620.57","25,002,886,689","25,002,886,689"
132,"Sep 23, 2019","10,067.96","10,074.24","9,727.14","9,729.32","15,144,925,408","15,144,925,408"
133,"Sep 22, 2019","10,024.12","10,074.44","9,922.53","10,070.39","13,199,651,698","13,199,651,698"
134,"Sep 21, 2019","10,183.65","10,188.10","10,000.71","10,019.72","13,425,266,806","13,425,266,806"
135,"Sep 20, 2019","10,266.32","10,285.87","10,132.19","10,181.64","14,734,189,639","14,734,189,639"
136,"Sep 19, 2019","10,200.50","10,295.67","9,851.69","10,266.41","19,937,691,247","19,937,691,247"
137,"Sep 18, 2019","10,247.80","10,275.93","10,191.47","10,198.25","16,169,268,880","16,169,268,880"
138,"Sep 17, 2019","10,281.51","10,296.77","10,199.74","10,241.27","15,304,603,363","15,304,603,363"
139,"Sep 16, 2019","10,347.22","10,386.87","10,189.74","10,276.79","15,160,167,779","15,160,167,779"
140,"Sep 15, 2019","10,356.47","10,387.03","10,313.09","10,347.71","12,043,433,567","12,043,433,567"
141,"Sep 14, 2019","10,345.40","10,422.13","10,291.69","10,358.05","13,468,713,124","13,468,713,124"
142,"Sep 13, 2019","10,415.36","10,441.49","10,226.60","10,360.55","14,109,864,675","14,109,864,675"
143,"Sep 12, 2019","10,176.82","10,442.25","10,099.24","10,410.13","15,323,563,925","15,323,563,925"
144,"Sep 11, 2019","10,123.03","10,215.95","9,980.78","10,178.37","15,428,063,426","15,428,063,426"
145,"Sep 10, 2019","10,336.41","10,394.35","10,020.57","10,115.98","14,906,809,639","14,906,809,639"
146,"Sep 09, 2019","10,443.23","10,450.31","10,144.93","10,334.97","17,595,943,368","17,595,943,368"
147,"Sep 08, 2019","10,518.11","10,595.64","10,409.09","10,441.28","13,670,567,493","13,670,567,493"
148,"Sep 07, 2019","10,353.93","10,558.67","10,348.92","10,517.25","15,307,366,476","15,307,366,476"
149,"Sep 06, 2019","10,578.20","10,898.76","10,292.30","10,353.30","19,536,574,783","19,536,574,783"
150,"Sep 05, 2019","10,588.18","10,627.27","10,516.42","10,575.53","14,551,239,508","14,551,239,508"
151,"Sep 04, 2019","10,621.18","10,762.64","10,434.71","10,594.49","16,742,664,769","16,742,664,769"
152,"Sep 03, 2019","10,345.73","10,736.10","10,308.55","10,623.54","19,384,917,989","19,384,917,989"
153,"Sep 02, 2019","9,757.47","10,396.59","9,730.65","10,346.76","17,248,102,294","17,248,102,294"
154,"Sep 01, 2019","9,630.59","9,796.76","9,582.94","9,757.97","11,445,355,859","11,445,355,859"
155,"Aug 31, 2019","9,597.54","9,673.22","9,531.80","9,630.66","11,454,806,419","11,454,806,419"
156,"Aug 30, 2019","9,514.84","9,656.12","9,428.30","9,598.17","13,595,263,986","13,595,263,986"
157,"Aug 29, 2019","9,756.79","9,756.79","9,421.63","9,510.20","17,045,878,501","17,045,878,501"
158,"Aug 28, 2019","10,203.43","10,279.37","9,716.66","9,754.42","17,603,790,323","17,603,790,323"
